股票名称,股票代码
华美股份,'872690
烨达新材,'872689
经纬腾云,'872688
海力储存,'872687
紫藤科技,'872686
康乾大成,'872685
台州检测,'872684
华南疫苗,'872683
国君医疗,'872682
广大纸业,'872681
辽宁中科,'872680
浙宝股份,'872679
绿宇新材,'872678
天朔医疗,'872677
宝得换热,'872676
北京伟力,'872675
高盛生物,'872674
绿亮股份,'872673
英奥特,'872672
西南管业,'872671
诚拓股份,'872670
启慧教育,'872669
华西人防,'872667
友华医院,'872666
丰源轮胎,'872663
旭德教育,'872662
江苏轩瑞,'872660
零奔洋,'872658
龙能股份,'872657
上易机械,'872656
正明环保,'872655
双流热能,'872652
中联慧通,'872651
仑谷科技,'872648
中雁石斛,'872646
凯工股份,'872645
电计研发,'872644
华冶股份,'872643
巨鹏股份,'872641
科畅电子,'872640
亮星股份,'872638
东昊电力,'872637
东邦环保,'872636
志强远大,'872635
宏福环保,'872634
云朵股份,'872633
钢劲型钢,'872632
创投汽车,'872631
群鑫强磁,'872630
科丰电子,'872629
英迪迈,'872628
万昌家具,'872626
ST青聚,'872625
卓才股份,'872624
萌帮股份,'872623
宝马建设,'872622
东宇电气,'872621
建纬检测,'872620
玉安爆破,'872619
秦淮风光,'872618
三源信息,'872617
融利科技,'872616
华星科创,'872615
川投水务,'872614
华媒康讯,'872612
力业股份,'872611
妙音动漫,'872610
天利热工,'872609
大陆康腾,'872606
优识科技,'872605
攸品邻里,'872604
声屏传媒,'872602
艾科瑞思,'872600
警圣技术,'872599
昌源股份,'872597
中环电炉,'872594
中创融科,'872593
清能股份,'872589
宏基铝业,'872588
政平股份,'872586
尚禹科技,'872585
大家食品,'872584
潮白环保,'872582
艺高股份,'872581
西华航空,'872580
泰通能源,'872579
巴中公用,'872578
浏经水务,'872577
腾威科技,'872575
东唐电气,'872574
艾瑞技术,'872573
富尔特,'872572
一航科技,'872571
迈纬科技,'872570
信游星空,'872569
鸿润食品,'872568
快玻科技,'872567
九天达,'872566
怡申股份,'872565
华日新材,'872564
星旅控股,'872563
瑞兆激光,'872562
理德铭,'872560
长河科技,'872559
侨旺纸模,'872558
新武夷,'872557
明芯微,'872556
汇能动力,'872555
英特易,'872554
明和股份,'872553
九福科技,'872552
阿义玛,'872551
第意户外,'872550
绿浥农科,'872549
实力物业,'872548
云华通,'872547
汇智科技,'872546
华锐基板,'872545
创业测绘,'872544
朗林生物,'872543
永乐聚河,'872542
铁大科技,'872541
华彬天星,'872540
圣氏化学,'872539
喜跃发,'872538
浩天新杰,'872536
奥斯佳,'872534
格瑞特,'872532
天龙网球,'872531
广州金航,'872530
龙华化工,'872529
好顺发,'872528
东阳智能,'872527
博志成,'872526
智德检测,'872525
权星智控,'872523
腾飞人才,'872522
安徽华辰,'872521
皋液重工,'872520
兴中股份,'872519
赛立信,'872518
白龙茶业,'872517
时代银通,'872516
启创环境,'872515
华兴科技,'872512
智林股份,'872511
励翔股份,'872510
攀高股份,'872509
兄弟伊兰,'872508
羊羊股份,'872507
合信科技,'872506
辉腾科技,'872505
新日月,'872504
海利华科,'872503
鹏飞物流,'872502
易方信息,'872501
大团结,'872500
快车科技,'872498
龙腾园林,'872497
四川赛狄,'872496
凯鸿物流,'872495
绎达股份,'872494
智吃科技,'872493
润生堂,'872492
阳江港,'872491
美罗福,'872490
联博瑞翔,'872489
广物木材,'872488
筑建股份,'872487
昱品科技,'872486
江苏佑风,'872485
成利吉,'872483
长林管道,'872482
泰为股份,'872481
粤冠股份,'872480
毅达科技,'872478
龙成消防,'872477
上海生农,'872476
知韬股份,'872475
富丽华,'872473
林海园林,'872471
亚佳绿建,'872469
万田检测,'872468
新域集成,'872467
瑞通精工,'872466
中荷花卉,'872465
康奇生物,'872464
兴润园林,'872462
山东京普,'872461
一飞药业,'872460
祥珑科技,'872459
美悦股份,'872458
爱申特,'872457
中业股份,'872456
龙成国际,'872453
飞安瑞,'872451
明堂山,'872450
捷儿金,'872449
恒凯能源,'872446
大众股份,'872445
浩鸿达,'872444
掌动科技,'872443
好思家,'872441
温都猫,'872439
金恒科技,'872438
硕博电子,'872435
明易达,'872434
美尔贝,'872433
德乐科技,'872432
华清环境,'872430
尚途国旅,'872428
赛融科技,'872427
奥祥股份,'872426
仕全兴,'872425
方向传媒,'872424
百达智能,'872423
天嘉智能,'872422
顺天科技,'872421
新丰小吃,'872420
罗特钢带,'872419
泰铂科技,'872418
荣骏检测,'872417
兴艺印刷,'872416
欧联股份,'872415
天大仪器,'872414
利化爆破,'872413
三让洁能,'872412
育才药包,'872411
欧百特,'872409
邦威防护,'872408
华族股份,'872407
三同新材,'872406
景升股份,'872405
博瑞生物,'872404
德冠廷,'872403
大元生态,'872402
羿尧网络,'872401
爱维尔,'872400
城安科技,'872399
玉城股份,'872398
世德装备,'872397
先创股份,'872396
江苏红人,'872395
泰一股份,'872394
迪富电子,'872393
佳合科技,'872392
恒港科技,'872391
塞尚国旅,'872389
蓝水软件,'872388
青岛食品,'872387
汇通银行,'872386
豫科光学,'872383
富利环保,'872381
金鑫新能,'872380
小蝉传媒,'872379
徽生源,'872377
农好股份,'872376
爱特安为,'872375
云里物里,'872374
第一成美,'872373
同曦篮球,'872371
舜大能源,'872369
全影科技,'872368
吾尔利,'872366
广博装饰,'872364
鸿基科技,'872363
奥森迪科,'872362
华泓新材,'872361
鹏翔智造,'872360
ST安友,'872359
轩慧科技,'872358
山东通航,'872357
习尚喜,'872356
晋坤股份,'872355
开元新材,'872352
宇德科技,'872350
御龙渔业,'872349
鑫鑫家居,'872348
ST世界行,'872347
特力洁,'872346
通慧科技,'872345
金达来,'872344
华达股份,'872342
同泽股份,'872341
融通股份,'872340
光锐通信,'872339
金银卡,'872338
卓奥科技,'872337
强纶新材,'872336
科炬生物,'872334
磐电科技,'872333
思伟科技,'872330
宁苗生态,'872328
XD简达物,'872327
名流泵业,'872326
丽宫食品,'872325
西信信息,'872324
汇景生态,'872323
美客多,'872322
子宏生态,'872321
康亚药业,'872320
希肯文化,'872319
久信信息,'872318
ST越川,'872316
威骏股份,'872315
河谷智能,'872312
威德环境,'872311
协汇食品,'872310
盛祺信息,'872308
创举科技,'872307
百斯福,'872305
天浩科技,'872304
自由能,'872303
和邦盛世,'872302
东方亮,'872301
玉柴动力,'872300
亚捷科技,'872299
威海顺意,'872298
莎特勒,'872297
汉邦生物,'872294
悦诚股份,'872293
固耐特,'872291
轻冶股份,'872290
鸿途信达,'872289
金码测控,'872288
建工新科,'872287
上元智能,'872286
铝泰股份,'872285
新大长远,'872284
怡联科技,'872283
ST世胜,'872282
迈光科技,'872281
超越智能,'872279
九鼎园林,'872277
高至影像,'872276
松华新材,'872275
卡本新能,'872274
创合电气,'872273
华达建业,'872272
意匠轩,'872271
龙海股份,'872270
点评股份,'872268
金发股份,'872267
百拓共享,'872266
珠江燃气,'872265
四宝生物,'872264
中天迅,'872263
ST友联,'872262
索尔玻璃,'872261
百丰医药,'872260
维勘科技,'872259
渤海水产,'872258
实时技术,'872257
中健国康,'872256
昇迪科技,'872255
铧为物流,'872254
中瀛科技,'872253
鼎昇科技,'872251
欣思源,'872250
金米特,'872249
易动力,'872248
银山股份,'872247
昆时股份,'872246
巴山牧业,'872245
金鑫新材,'872244
同方辐照,'872241
富连京,'872240
飞扬文化,'872239
振华建工,'872238
瀚天智能,'872235
高桥科技,'872233
慧峰科技,'872232
青岛积成,'872230
双马股份,'872227
弘达电气,'872226
华诚传媒,'872224
泰得科技,'872223
中稀天马,'872222
乐誓股份,'872220
联科云,'872219
瑞普股份,'872217
高发气体,'872216
西藏旅行,'872215
康隆生物,'872213
利农种业,'872212
润和催化,'872211
德建建科,'872210
双元环保,'872209
三向股份,'872206
环诺环保,'872205
博可生物,'872204
纵横智慧,'872203
聚力粮机,'872202
紫荆花,'872201
欣隆环保,'872200
宇洪科技,'872199
浣江水务,'872198
汉诺宝嘉,'872197
润虹医药,'872194
荣泰农业,'872193
中智天弘,'872192
亳州保安,'872191
雷神科技,'872190
未来传媒,'872189
优天下,'872188
华德水晶,'872187
滇草六味,'872185
技塑股份,'872184
润康科技,'872183
宏晟节能,'872182
英华融泰,'872180
铭视科技,'872178
英田影视,'872177
蓝鼎餐饮,'872175
康明新,'872174
富顺新材,'872173
大千科技,'872172
绿泉环保,'872171
盛达科技,'872170
雅琪生物,'872169
卡联股份,'872168
顺鑫昌,'872167
新烽光电,'872166
卡特马克,'872165
云能智慧,'872164
九博股份,'872162
风行测控,'872161
智慧旅游,'872160
一方美度,'872158
ST晨光股,'872157
位智天下,'872156
九州治水,'872155
维真视界,'872154
孔凤春,'872153
华仿科技,'872152
光腾新能,'872150
睿中实业,'872149
航晨科技,'872147
东日环保,'872145
精一科技,'872144
宽惠股份,'872143
好兄弟,'872141
兆丰环保,'872140
网娱互动,'872139
华博创科,'872138
正泽科技,'872137
聚成新材,'872136
新思维,'872135
羽健股份,'872132
南大智慧,'872131
英斯瑞德,'872129
第一文体,'872128
清铧股份,'872127
大业堂,'872126
卓网信息,'872125
智建科技,'872124
开创集团,'872123
华联电子,'872122
氟聚股份,'872121
皇瑞股份,'872118
康荣高科,'872117
祝融科技,'872112
荣飞科技,'872111
光隆能源,'872109
昊华股份,'872107
爱克信,'872106
康泰旅游,'872104
中科博微,'872103
中苏科技,'872102
观天执行,'872101
宏基新材,'872100
蒂艾斯,'872099
中置添颐,'872098
英网股份,'872097
